Metric,Value,Description
ramulator.active_cycles_2_2,108054,Total active cycles for level _2_2
ramulator.active_cycles_2_2_0,54558,Total active cycles for level _2_2_0
ramulator.active_cycles_2_2_1,54193,Total active cycles for level _2_2_1
ramulator.active_cycles_2_3,117257,Total active cycles for level _2_3
ramulator.active_cycles_2_3_0,51042,Total active cycles for level _2_3_0
ramulator.active_cycles_2_3_1,67644,Total active cycles for level _2_3_1
ramulator.active_cycles_3,412408,Total active cycles for level _3
ramulator.active_cycles_30,392251,Total active cycles for level _30
ramulator.active_cycles_30_0,95487,Total active cycles for level _30_0
ramulator.active_cycles_30_0_0,47009,Total active cycles for level _30_0_0
ramulator.active_cycles_30_0_1,48902,Total active cycles for level _30_0_1
ramulator.active_cycles_30_1,100456,Total active cycles for level _30_1
ramulator.active_cycles_30_1_0,46870,Total active cycles for level _30_1_0
ramulator.active_cycles_30_1_1,54386,Total active cycles for level _30_1_1
ramulator.active_cycles_30_2,101930,Total active cycles for level _30_2
ramulator.active_cycles_30_2_0,51736,Total active cycles for level _30_2_0
ramulator.active_cycles_30_2_1,50576,Total active cycles for level _30_2_1
ramulator.active_cycles_30_3,112446,Total active cycles for level _30_3
ramulator.active_cycles_30_3_0,62208,Total active cycles for level _30_3_0
ramulator.active_cycles_30_3_1,51362,Total active cycles for level _30_3_1
ramulator.active_cycles_31,385909,Total active cycles for level _31
ramulator.active_cycles_31_0,94760,Total active cycles for level _31_0
ramulator.active_cycles_31_0_0,46921,Total active cycles for level _31_0_0
ramulator.active_cycles_31_0_1,48119,Total active cycles for level _31_0_1
ramulator.active_cycles_31_1,98752,Total active cycles for level _31_1
ramulator.active_cycles_31_1_0,45988,Total active cycles for level _31_1_0
ramulator.active_cycles_31_1_1,53055,Total active cycles for level _31_1_1
ramulator.active_cycles_31_2,102196,Total active cycles for level _31_2
ramulator.active_cycles_31_2_0,53407,Total active cycles for level _31_2_0
ramulator.active_cycles_31_2_1,50231,Total active cycles for level _31_2_1
ramulator.active_cycles_31_3,113378,Total active cycles for level _31_3
ramulator.active_cycles_31_3_0,62392,Total active cycles for level _31_3_0
ramulator.active_cycles_31_3_1,51949,Total active cycles for level _31_3_1
ramulator.active_cycles_3_0,100544,Total active cycles for level _3_0
ramulator.active_cycles_3_0_0,48954,Total active cycles for level _3_0_0
ramulator.active_cycles_3_0_1,52192,Total active cycles for level _3_0_1
ramulator.active_cycles_3_1,96464,Total active cycles for level _3_1
ramulator.active_cycles_3_1_0,47539,Total active cycles for level _3_1_0
ramulator.active_cycles_3_1_1,49856,Total active cycles for level _3_1_1
ramulator.active_cycles_3_2,117392,Total active cycles for level _3_2
ramulator.active_cycles_3_2_0,59638,Total active cycles for level _3_2_0
ramulator.active_cycles_3_2_1,58522,Total active cycles for level _3_2_1
ramulator.active_cycles_3_3,120814,Total active cycles for level _3_3
ramulator.active_cycles_3_3_0,51867,Total active cycles for level _3_3_0
ramulator.active_cycles_3_3_1,70824,Total active cycles for level _3_3_1
ramulator.active_cycles_4,4401008,Total active cycles for level _4
ramulator.active_cycles_4_0,110292,Total active cycles for level _4_0
ramulator.active_cycles_4_0_0,47678,Total active cycles for level _4_0_0
ramulator.active_cycles_4_0_1,63351,Total active cycles for level _4_0_1
ramulator.active_cycles_4_1,2085601,Total active cycles for level _4_1
ramulator.active_cycles_4_1_0,1041356,Total active cycles for level _4_1_0
ramulator.active_cycles_4_1_1,1045056,Total active cycles for level _4_1_1
ramulator.active_cycles_4_2,1115380,Total active cycles for level _4_2
ramulator.active_cycles_4_2_0,1053308,Total active cycles for level _4_2_0
ramulator.active_cycles_4_2_1,62928,Total active cycles for level _4_2_1
ramulator.active_cycles_4_3,1108460,Total active cycles for level _4_3
ramulator.active_cycles_4_3_0,1044757,Total active cycles for level _4_3_0
ramulator.active_cycles_4_3_1,64784,Total active cycles for level _4_3_1
ramulator.active_cycles_5,6915203,Total active cycles for level _5
ramulator.active_cycles_5_0,1808885,Total active cycles for level _5_0
ramulator.active_cycles_5_0_0,1754865,Total active cycles for level _5_0_0
ramulator.active_cycles_5_0_1,54731,Total active cycles for level _5_0_1
ramulator.active_cycles_5_1,3195284,Total active cycles for level _5_1
ramulator.active_cycles_5_1_0,1442180,Total active cycles for level _5_1_0
ramulator.active_cycles_5_1_1,1754164,Total active cycles for level _5_1_1
ramulator.active_cycles_5_2,1826437,Total active cycles for level _5_2
ramulator.active_cycles_5_2_0,1764447,Total active cycles for level _5_2_0
ramulator.active_cycles_5_2_1,63072,Total active cycles for level _5_2_1
ramulator.active_cycles_5_3,103870,Total active cycles for level _5_3
ramulator.active_cycles_5_3_0,49712,Total active cycles for level _5_3_0
ramulator.active_cycles_5_3_1,55054,Total active cycles for level _5_3_1
ramulator.active_cycles_6,411711,Total active cycles for level _6
ramulator.active_cycles_6_0,102294,Total active cycles for level _6_0
ramulator.active_cycles_6_0_0,49731,Total active cycles for level _6_0_0
ramulator.active_cycles_6_0_1,53194,Total active cycles for level _6_0_1
