Metric,Value,Description
ramulator.active_cycles_29_2_1,2250918,Total active cycles for level _29_2_1
ramulator.active_cycles_29_3,5147177,Total active cycles for level _29_3
ramulator.active_cycles_29_3_0,2813248,Total active cycles for level _29_3_0
ramulator.active_cycles_29_3_1,2396895,Total active cycles for level _29_3_1
ramulator.active_cycles_2_0,9237111,Total active cycles for level _2_0
ramulator.active_cycles_2_0_0,6403648,Total active cycles for level _2_0_0
ramulator.active_cycles_2_0_1,2879602,Total active cycles for level _2_0_1
ramulator.active_cycles_2_1,8414375,Total active cycles for level _2_1
ramulator.active_cycles_2_1_0,4409364,Total active cycles for level _2_1_0
ramulator.active_cycles_2_1_1,4086095,Total active cycles for level _2_1_1
ramulator.active_cycles_2_2,8496206,Total active cycles for level _2_2
ramulator.active_cycles_2_2_0,3561298,Total active cycles for level _2_2_0
ramulator.active_cycles_2_2_1,4968895,Total active cycles for level _2_2_1
ramulator.active_cycles_2_3,18361913,Total active cycles for level _2_3
ramulator.active_cycles_2_3_0,9803746,Total active cycles for level _2_3_0
ramulator.active_cycles_2_3_1,8613696,Total active cycles for level _2_3_1
ramulator.active_cycles_3,26401382,Total active cycles for level _3
ramulator.active_cycles_30,23544501,Total active cycles for level _30
ramulator.active_cycles_30_0,7236549,Total active cycles for level _30_0
ramulator.active_cycles_30_0_0,2814730,Total active cycles for level _30_0_0
ramulator.active_cycles_30_0_1,4502463,Total active cycles for level _30_0_1
ramulator.active_cycles_30_1,5807240,Total active cycles for level _30_1
ramulator.active_cycles_30_1_0,3415959,Total active cycles for level _30_1_0
ramulator.active_cycles_30_1_1,2433246,Total active cycles for level _30_1_1
ramulator.active_cycles_30_2,4463518,Total active cycles for level _30_2
ramulator.active_cycles_30_2_0,2398227,Total active cycles for level _30_2_0
ramulator.active_cycles_30_2_1,2093838,Total active cycles for level _30_2_1
ramulator.active_cycles_30_3,7424223,Total active cycles for level _30_3
ramulator.active_cycles_30_3_0,3960721,Total active cycles for level _30_3_0
ramulator.active_cycles_30_3_1,3528555,Total active cycles for level _30_3_1
ramulator.active_cycles_31,22162350,Total active cycles for level _31
