Metric,Value,Description
ramulator.active_cycles_5_1_1,2043321,Total active cycles for level _5_1_1
ramulator.active_cycles_5_2,4509214,Total active cycles for level _5_2
ramulator.active_cycles_5_2_0,2229918,Total active cycles for level _5_2_0
ramulator.active_cycles_5_2_1,2319289,Total active cycles for level _5_2_1
ramulator.active_cycles_5_3,4430930,Total active cycles for level _5_3
ramulator.active_cycles_5_3_0,2137575,Total active cycles for level _5_3_0
ramulator.active_cycles_5_3_1,2334552,Total active cycles for level _5_3_1
ramulator.active_cycles_6,22427804,Total active cycles for level _6
ramulator.active_cycles_6_0,6596125,Total active cycles for level _6_0
ramulator.active_cycles_6_0_0,2824799,Total active cycles for level _6_0_0
ramulator.active_cycles_6_0_1,3860098,Total active cycles for level _6_0_1
ramulator.active_cycles_6_1,6966651,Total active cycles for level _6_1
ramulator.active_cycles_6_1_0,3144314,Total active cycles for level _6_1_0
ramulator.active_cycles_6_1_1,3900192,Total active cycles for level _6_1_1
ramulator.active_cycles_6_2,5838826,Total active cycles for level _6_2
ramulator.active_cycles_6_2_0,3304495,Total active cycles for level _6_2_0
ramulator.active_cycles_6_2_1,2572454,Total active cycles for level _6_2_1
ramulator.active_cycles_6_3,4519987,Total active cycles for level _6_3
ramulator.active_cycles_6_3_0,2203085,Total active cycles for level _6_3_0
ramulator.active_cycles_6_3_1,2362711,Total active cycles for level _6_3_1
ramulator.active_cycles_7,24112488,Total active cycles for level _7
ramulator.active_cycles_7_0,8260709,Total active cycles for level _7_0
ramulator.active_cycles_7_0_0,5311230,Total active cycles for level _7_0_0
ramulator.active_cycles_7_0_1,3060591,Total active cycles for level _7_0_1
ramulator.active_cycles_7_1,6132865,Total active cycles for level _7_1
ramulator.active_cycles_7_1_0,3142776,Total active cycles for level _7_1_0
ramulator.active_cycles_7_1_1,3031109,Total active cycles for level _7_1_1
ramulator.active_cycles_7_2,5796928,Total active cycles for level _7_2
ramulator.active_cycles_7_2_0,3480690,Total active cycles for level _7_2_0
ramulator.active_cycles_7_2_1,2356617,Total active cycles for level _7_2_1
ramulator.active_cycles_7_3,5459865,Total active cycles for level _7_3
ramulator.active_cycles_7_3_0,3159476,Total active cycles for level _7_3_0
ramulator.active_cycles_7_3_1,2344615,Total active cycles for level _7_3_1
ramulator.active_cycles_8,23707055,Total active cycles for level _8
ramulator.active_cycles_8_0,7408530,Total active cycles for level _8_0
ramulator.active_cycles_8_0_0,4134355,Total active cycles for level _8_0_0
ramulator.active_cycles_8_0_1,3371621,Total active cycles for level _8_0_1
ramulator.active_cycles_8_1,5618276,Total active cycles for level _8_1
ramulator.active_cycles_8_1_0,2381201,Total active cycles for level _8_1_0
ramulator.active_cycles_8_1_1,3274827,Total active cycles for level _8_1_1
ramulator.active_cycles_8_2,7017870,Total active cycles for level _8_2
ramulator.active_cycles_8_2_0,4942568,Total active cycles for level _8_2_0
ramulator.active_cycles_8_2_1,2116998,Total active cycles for level _8_2_1
ramulator.active_cycles_8_3,5128308,Total active cycles for level _8_3
ramulator.active_cycles_8_3_0,2896099,Total active cycles for level _8_3_0
ramulator.active_cycles_8_3_1,2275719,Total active cycles for level _8_3_1
ramulator.active_cycles_9,56965180,Total active cycles for level _9
ramulator.active_cycles_9_0,13335217,Total active cycles for level _9_0
ramulator.active_cycles_9_0_0,9659165,Total active cycles for level _9_0_0
ramulator.active_cycles_9_0_1,3763049,Total active cycles for level _9_0_1
