Metric,Value,Description
ramulator.active_cycles_31_0,1605052,Total active cycles for level _31_0
ramulator.active_cycles_31_0_0,805013,Total active cycles for level _31_0_0
ramulator.active_cycles_31_0_1,801186,Total active cycles for level _31_0_1
ramulator.active_cycles_31_1,1601546,Total active cycles for level _31_1
ramulator.active_cycles_31_1_0,804854,Total active cycles for level _31_1_0
ramulator.active_cycles_31_1_1,800554,Total active cycles for level _31_1_1
ramulator.active_cycles_31_2,1599733,Total active cycles for level _31_2
ramulator.active_cycles_31_2_0,807145,Total active cycles for level _31_2_0
ramulator.active_cycles_31_2_1,794234,Total active cycles for level _31_2_1
ramulator.active_cycles_31_3,1602486,Total active cycles for level _31_3
ramulator.active_cycles_31_3_0,804882,Total active cycles for level _31_3_0
ramulator.active_cycles_31_3_1,800760,Total active cycles for level _31_3_1
ramulator.active_cycles_3_0,1606115,Total active cycles for level _3_0
ramulator.active_cycles_3_0_0,803438,Total active cycles for level _3_0_0
ramulator.active_cycles_3_0_1,804496,Total active cycles for level _3_0_1
ramulator.active_cycles_3_1,1607853,Total active cycles for level _3_1
ramulator.active_cycles_3_1_0,803977,Total active cycles for level _3_1_0
ramulator.active_cycles_3_1_1,806066,Total active cycles for level _3_1_1
ramulator.active_cycles_3_2,1612051,Total active cycles for level _3_2
ramulator.active_cycles_3_2_0,803747,Total active cycles for level _3_2_0
ramulator.active_cycles_3_2_1,810506,Total active cycles for level _3_2_1
ramulator.active_cycles_3_3,1594725,Total active cycles for level _3_3
ramulator.active_cycles_3_3_0,798144,Total active cycles for level _3_3_0
ramulator.active_cycles_3_3_1,799163,Total active cycles for level _3_3_1
ramulator.active_cycles_4,6339891,Total active cycles for level _4
ramulator.active_cycles_4_0,1605478,Total active cycles for level _4_0
ramulator.active_cycles_4_0_0,801328,Total active cycles for level _4_0_0
ramulator.active_cycles_4_0_1,805939,Total active cycles for level _4_0_1
ramulator.active_cycles_4_1,1606994,Total active cycles for level _4_1
ramulator.active_cycles_4_1_0,804460,Total active cycles for level _4_1_0
ramulator.active_cycles_4_1_1,803801,Total active cycles for level _4_1_1
ramulator.active_cycles_4_2,1604735,Total active cycles for level _4_2
ramulator.active_cycles_4_2_0,800743,Total active cycles for level _4_2_0
ramulator.active_cycles_4_2_1,806546,Total active cycles for level _4_2_1
ramulator.active_cycles_4_3,1596299,Total active cycles for level _4_3
ramulator.active_cycles_4_3_0,795894,Total active cycles for level _4_3_0
ramulator.active_cycles_4_3_1,801220,Total active cycles for level _4_3_1
ramulator.active_cycles_5,6327561,Total active cycles for level _5
ramulator.active_cycles_5_0,1608722,Total active cycles for level _5_0
ramulator.active_cycles_5_0_0,804432,Total active cycles for level _5_0_0
ramulator.active_cycles_5_0_1,806439,Total active cycles for level _5_0_1
ramulator.active_cycles_5_1,1609058,Total active cycles for level _5_1
ramulator.active_cycles_5_1_0,804070,Total active cycles for level _5_1_0
ramulator.active_cycles_5_1_1,806217,Total active cycles for level _5_1_1
ramulator.active_cycles_5_2,1606830,Total active cycles for level _5_2
ramulator.active_cycles_5_2_0,802584,Total active cycles for level _5_2_0
ramulator.active_cycles_5_2_1,807276,Total active cycles for level _5_2_1
ramulator.active_cycles_5_3,1598217,Total active cycles for level _5_3
ramulator.active_cycles_5_3_0,798155,Total active cycles for level _5_3_0
ramulator.active_cycles_5_3_1,801338,Total active cycles for level _5_3_1
ramulator.active_cycles_6,6326082,Total active cycles for level _6
ramulator.active_cycles_6_0,1610356,Total active cycles for level _6_0
ramulator.active_cycles_6_0_0,807433,Total active cycles for level _6_0_0
ramulator.active_cycles_6_0_1,805497,Total active cycles for level _6_0_1
ramulator.active_cycles_6_1,1603325,Total active cycles for level _6_1
ramulator.active_cycles_6_1_0,802868,Total active cycles for level _6_1_0
ramulator.active_cycles_6_1_1,801953,Total active cycles for level _6_1_1
ramulator.active_cycles_6_2,1602205,Total active cycles for level _6_2
ramulator.active_cycles_6_2_0,801836,Total active cycles for level _6_2_0
ramulator.active_cycles_6_2_1,802742,Total active cycles for level _6_2_1
ramulator.active_cycles_6_3,1591305,Total active cycles for level _6_3
ramulator.active_cycles_6_3_0,797613,Total active cycles for level _6_3_0
ramulator.active_cycles_6_3_1,794751,Total active cycles for level _6_3_1
ramulator.active_cycles_7,6338490,Total active cycles for level _7
ramulator.active_cycles_7_0,1613160,Total active cycles for level _7_0
ramulator.active_cycles_7_0_0,804479,Total active cycles for level _7_0_0
ramulator.active_cycles_7_0_1,810930,Total active cycles for level _7_0_1
ramulator.active_cycles_7_1,1606011,Total active cycles for level _7_1
ramulator.active_cycles_7_1_0,805419,Total active cycles for level _7_1_0
ramulator.active_cycles_7_1_1,802087,Total active cycles for level _7_1_1
ramulator.active_cycles_7_2,1602594,Total active cycles for level _7_2
ramulator.active_cycles_7_2_0,801814,Total active cycles for level _7_2_0
ramulator.active_cycles_7_2_1,802960,Total active cycles for level _7_2_1
ramulator.active_cycles_7_3,1594718,Total active cycles for level _7_3
ramulator.active_cycles_7_3_0,796349,Total active cycles for level _7_3_0
ramulator.active_cycles_7_3_1,800384,Total active cycles for level _7_3_1
ramulator.active_cycles_8,6339950,Total active cycles for level _8
ramulator.active_cycles_8_0,1610371,Total active cycles for level _8_0
ramulator.active_cycles_8_0_0,803605,Total active cycles for level _8_0_0
ramulator.active_cycles_8_0_1,808028,Total active cycles for level _8_0_1
ramulator.active_cycles_8_1,1603137,Total active cycles for level _8_1
ramulator.active_cycles_8_1_0,803311,Total active cycles for level _8_1_0
ramulator.active_cycles_8_1_1,801328,Total active cycles for level _8_1_1
ramulator.active_cycles_8_2,1604104,Total active cycles for level _8_2
ramulator.active_cycles_8_2_0,802654,Total active cycles for level _8_2_0
ramulator.active_cycles_8_2_1,804042,Total active cycles for level _8_2_1
ramulator.active_cycles_8_3,1597644,Total active cycles for level _8_3
ramulator.active_cycles_8_3_0,801465,Total active cycles for level _8_3_0
ramulator.active_cycles_8_3_1,798297,Total active cycles for level _8_3_1
ramulator.active_cycles_9,6333867,Total active cycles for level _9
ramulator.active_cycles_9_0,1610894,Total active cycles for level _9_0
ramulator.active_cycles_9_0_0,805090,Total active cycles for level _9_0_0
ramulator.active_cycles_9_0_1,806758,Total active cycles for level _9_0_1
ramulator.active_cycles_9_1,1611392,Total active cycles for level _9_1
ramulator.active_cycles_9_1_0,808207,Total active cycles for level _9_1_0
ramulator.active_cycles_9_1_1,804646,Total active cycles for level _9_1_1
ramulator.active_cycles_9_2,1607416,Total active cycles for level _9_2
ramulator.active_cycles_9_2_0,806744,Total active cycles for level _9_2_0
ramulator.active_cycles_9_2_1,802786,Total active cycles for level _9_2_1
ramulator.active_cycles_9_3,1592661,Total active cycles for level _9_3
ramulator.active_cycles_9_3_0,796492,Total active cycles for level _9_3_0
