Metric,Value,Description
ramulator.active_cycles_5_1_1,2026492,Total active cycles for level _5_1_1
ramulator.active_cycles_5_2,4058814,Total active cycles for level _5_2
ramulator.active_cycles_5_2_0,2037030,Total active cycles for level _5_2_0
ramulator.active_cycles_5_2_1,2032401,Total active cycles for level _5_2_1
ramulator.active_cycles_5_3,4041857,Total active cycles for level _5_3
ramulator.active_cycles_5_3_0,2024783,Total active cycles for level _5_3_0
ramulator.active_cycles_5_3_1,2026572,Total active cycles for level _5_3_1
ramulator.active_cycles_6,15967099,Total active cycles for level _6
ramulator.active_cycles_6_0,4071321,Total active cycles for level _6_0
ramulator.active_cycles_6_0_0,2043111,Total active cycles for level _6_0_0
ramulator.active_cycles_6_0_1,2039182,Total active cycles for level _6_0_1
ramulator.active_cycles_6_1,4067123,Total active cycles for level _6_1
ramulator.active_cycles_6_1_0,2023328,Total active cycles for level _6_1_0
ramulator.active_cycles_6_1_1,2056304,Total active cycles for level _6_1_1
ramulator.active_cycles_6_2,4076050,Total active cycles for level _6_2
ramulator.active_cycles_6_2_0,2046131,Total active cycles for level _6_2_0
ramulator.active_cycles_6_2_1,2043735,Total active cycles for level _6_2_1
ramulator.active_cycles_6_3,4079807,Total active cycles for level _6_3
ramulator.active_cycles_6_3_0,2053095,Total active cycles for level _6_3_0
ramulator.active_cycles_6_3_1,2037810,Total active cycles for level _6_3_1
ramulator.active_cycles_7,16050971,Total active cycles for level _7
ramulator.active_cycles_7_0,4055719,Total active cycles for level _7_0
ramulator.active_cycles_7_0_0,2019896,Total active cycles for level _7_0_0
ramulator.active_cycles_7_0_1,2047346,Total active cycles for level _7_0_1
ramulator.active_cycles_7_1,4095377,Total active cycles for level _7_1
ramulator.active_cycles_7_1_0,2045289,Total active cycles for level _7_1_0
ramulator.active_cycles_7_1_1,2061364,Total active cycles for level _7_1_1
ramulator.active_cycles_7_2,4121033,Total active cycles for level _7_2
ramulator.active_cycles_7_2_0,2070508,Total active cycles for level _7_2_0
ramulator.active_cycles_7_2_1,2061703,Total active cycles for level _7_2_1
ramulator.active_cycles_7_3,4102767,Total active cycles for level _7_3
ramulator.active_cycles_7_3_0,2060398,Total active cycles for level _7_3_0
ramulator.active_cycles_7_3_1,2053318,Total active cycles for level _7_3_1
ramulator.active_cycles_8,16040421,Total active cycles for level _8
ramulator.active_cycles_8_0,4059178,Total active cycles for level _8_0
ramulator.active_cycles_8_0_0,2036644,Total active cycles for level _8_0_0
ramulator.active_cycles_8_0_1,2032582,Total active cycles for level _8_0_1
ramulator.active_cycles_8_1,4092400,Total active cycles for level _8_1
ramulator.active_cycles_8_1_0,2037990,Total active cycles for level _8_1_0
ramulator.active_cycles_8_1_1,2064235,Total active cycles for level _8_1_1
ramulator.active_cycles_8_2,4104759,Total active cycles for level _8_2
ramulator.active_cycles_8_2_0,2056970,Total active cycles for level _8_2_0
ramulator.active_cycles_8_2_1,2058627,Total active cycles for level _8_2_1
ramulator.active_cycles_8_3,4101631,Total active cycles for level _8_3
ramulator.active_cycles_8_3_0,2063328,Total active cycles for level _8_3_0
ramulator.active_cycles_8_3_1,2048495,Total active cycles for level _8_3_1
ramulator.active_cycles_9,16040757,Total active cycles for level _9
ramulator.active_cycles_9_0,4068934,Total active cycles for level _9_0
ramulator.active_cycles_9_0_0,2034948,Total active cycles for level _9_0_0
ramulator.active_cycles_9_0_1,2044959,Total active cycles for level _9_0_1
ramulator.active_cycles_9_1,4084260,Total active cycles for level _9_1
