Metric,Value,Description
ramulator.active_cycles_2_3_0,3525652,Total active cycles for level _2_3_0
ramulator.active_cycles_2_3_1,4165470,Total active cycles for level _2_3_1
ramulator.active_cycles_3,42415527,Total active cycles for level _3
ramulator.active_cycles_30,33888181,Total active cycles for level _30
ramulator.active_cycles_30_0,9709460,Total active cycles for level _30_0
ramulator.active_cycles_30_0_0,4767558,Total active cycles for level _30_0_0
ramulator.active_cycles_30_0_1,4953153,Total active cycles for level _30_0_1
ramulator.active_cycles_30_1,8145337,Total active cycles for level _30_1
ramulator.active_cycles_30_1_0,4373814,Total active cycles for level _30_1_0
ramulator.active_cycles_30_1_1,3790151,Total active cycles for level _30_1_1
ramulator.active_cycles_30_2,7749648,Total active cycles for level _30_2
ramulator.active_cycles_30_2_0,4108062,Total active cycles for level _30_2_0
ramulator.active_cycles_30_2_1,3653121,Total active cycles for level _30_2_1
ramulator.active_cycles_30_3,9108640,Total active cycles for level _30_3
ramulator.active_cycles_30_3_0,4356056,Total active cycles for level _30_3_0
ramulator.active_cycles_30_3_1,4762265,Total active cycles for level _30_3_1
ramulator.active_cycles_31,32855079,Total active cycles for level _31
ramulator.active_cycles_31_0,9596073,Total active cycles for level _31_0
ramulator.active_cycles_31_0_0,4716087,Total active cycles for level _31_0_0
ramulator.active_cycles_31_0_1,4893984,Total active cycles for level _31_0_1
ramulator.active_cycles_31_1,8069636,Total active cycles for level _31_1
ramulator.active_cycles_31_1_0,4330579,Total active cycles for level _31_1_0
ramulator.active_cycles_31_1_1,3758501,Total active cycles for level _31_1_1
ramulator.active_cycles_31_2,7166968,Total active cycles for level _31_2
ramulator.active_cycles_31_2_0,3673920,Total active cycles for level _31_2_0
ramulator.active_cycles_31_2_1,3506080,Total active cycles for level _31_2_1
ramulator.active_cycles_31_3,8827115,Total active cycles for level _31_3
ramulator.active_cycles_31_3_0,4131444,Total active cycles for level _31_3_0
ramulator.active_cycles_31_3_1,4707218,Total active cycles for level _31_3_1
ramulator.active_cycles_3_0,11354983,Total active cycles for level _3_0
ramulator.active_cycles_3_0_0,5899036,Total active cycles for level _3_0_0
ramulator.active_cycles_3_0_1,5466901,Total active cycles for level _3_0_1
ramulator.active_cycles_3_1,11290636,Total active cycles for level _3_1
ramulator.active_cycles_3_1_0,6215644,Total active cycles for level _3_1_0
ramulator.active_cycles_3_1_1,5092387,Total active cycles for level _3_1_1
ramulator.active_cycles_3_2,11100054,Total active cycles for level _3_2
ramulator.active_cycles_3_2_0,6159634,Total active cycles for level _3_2_0
