Metric,Value,Description
ramulator.active_cycles_7,6618865,Total active cycles for level _7
ramulator.active_cycles_7_0,1693869,Total active cycles for level _7_0
ramulator.active_cycles_7_0_0,848944,Total active cycles for level _7_0_0
ramulator.active_cycles_7_0_1,847692,Total active cycles for level _7_0_1
ramulator.active_cycles_7_1,1718790,Total active cycles for level _7_1
ramulator.active_cycles_7_1_0,868892,Total active cycles for level _7_1_0
ramulator.active_cycles_7_1_1,854633,Total active cycles for level _7_1_1
ramulator.active_cycles_7_2,1691979,Total active cycles for level _7_2
ramulator.active_cycles_7_2_0,849105,Total active cycles for level _7_2_0
ramulator.active_cycles_7_2_1,845355,Total active cycles for level _7_2_1
ramulator.active_cycles_7_3,1708408,Total active cycles for level _7_3
ramulator.active_cycles_7_3_0,866937,Total active cycles for level _7_3_0
ramulator.active_cycles_7_3_1,844294,Total active cycles for level _7_3_1
ramulator.active_cycles_8,6549922,Total active cycles for level _8
ramulator.active_cycles_8_0,1681025,Total active cycles for level _8_0
ramulator.active_cycles_8_0_0,844298,Total active cycles for level _8_0_0
ramulator.active_cycles_8_0_1,838706,Total active cycles for level _8_0_1
ramulator.active_cycles_8_1,1699454,Total active cycles for level _8_1
ramulator.active_cycles_8_1_0,863386,Total active cycles for level _8_1_0
ramulator.active_cycles_8_1_1,837106,Total active cycles for level _8_1_1
ramulator.active_cycles_8_2,1673403,Total active cycles for level _8_2
ramulator.active_cycles_8_2_0,840331,Total active cycles for level _8_2_0
ramulator.active_cycles_8_2_1,834819,Total active cycles for level _8_2_1
ramulator.active_cycles_8_3,1689628,Total active cycles for level _8_3
ramulator.active_cycles_8_3_0,849237,Total active cycles for level _8_3_0
ramulator.active_cycles_8_3_1,842244,Total active cycles for level _8_3_1
ramulator.active_cycles_9,6589321,Total active cycles for level _9
ramulator.active_cycles_9_0,1677576,Total active cycles for level _9_0
ramulator.active_cycles_9_0_0,840580,Total active cycles for level _9_0_0
ramulator.active_cycles_9_0_1,839828,Total active cycles for level _9_0_1
ramulator.active_cycles_9_1,1695922,Total active cycles for level _9_1
ramulator.active_cycles_9_1_0,858032,Total active cycles for level _9_1_0
ramulator.active_cycles_9_1_1,840619,Total active cycles for level _9_1_1
ramulator.active_cycles_9_2,1685520,Total active cycles for level _9_2
ramulator.active_cycles_9_2_0,845375,Total active cycles for level _9_2_0
ramulator.active_cycles_9_2_1,843197,Total active cycles for level _9_2_1
ramulator.active_cycles_9_3,1686589,Total active cycles for level _9_3
