Metric,Value,Description
ramulator.active_cycles_2_2,95410,Total active cycles for level _2_2
ramulator.active_cycles_2_2_0,51019,Total active cycles for level _2_2_0
ramulator.active_cycles_2_2_1,44584,Total active cycles for level _2_2_1
ramulator.active_cycles_2_3,44695,Total active cycles for level _2_3
ramulator.active_cycles_2_3_0,15079,Total active cycles for level _2_3_0
ramulator.active_cycles_2_3_1,29767,Total active cycles for level _2_3_1
ramulator.active_cycles_3,148424,Total active cycles for level _3
ramulator.active_cycles_30,143935,Total active cycles for level _30
ramulator.active_cycles_30_0,27568,Total active cycles for level _30_0
ramulator.active_cycles_30_0_0,18422,Total active cycles for level _30_0_0
ramulator.active_cycles_30_0_1,9337,Total active cycles for level _30_0_1
ramulator.active_cycles_30_1,44468,Total active cycles for level _30_1
ramulator.active_cycles_30_1_0,19642,Total active cycles for level _30_1_0
ramulator.active_cycles_30_1_1,24987,Total active cycles for level _30_1_1
ramulator.active_cycles_30_2,35301,Total active cycles for level _30_2
ramulator.active_cycles_30_2_0,27369,Total active cycles for level _30_2_0
ramulator.active_cycles_30_2_1,8012,Total active cycles for level _30_2_1
ramulator.active_cycles_30_3,40939,Total active cycles for level _30_3
ramulator.active_cycles_30_3_0,21441,Total active cycles for level _30_3_0
ramulator.active_cycles_30_3_1,19799,Total active cycles for level _30_3_1
ramulator.active_cycles_31,112131,Total active cycles for level _31
ramulator.active_cycles_31_0,20926,Total active cycles for level _31_0
ramulator.active_cycles_31_0_0,12475,Total active cycles for level _31_0_0
ramulator.active_cycles_31_0_1,8582,Total active cycles for level _31_0_1
ramulator.active_cycles_31_1,44560,Total active cycles for level _31_1
ramulator.active_cycles_31_1_0,26356,Total active cycles for level _31_1_0
ramulator.active_cycles_31_1_1,18318,Total active cycles for level _31_1_1
ramulator.active_cycles_31_2,24483,Total active cycles for level _31_2
ramulator.active_cycles_31_2_0,16483,Total active cycles for level _31_2_0
ramulator.active_cycles_31_2_1,8116,Total active cycles for level _31_2_1
ramulator.active_cycles_31_3,26487,Total active cycles for level _31_3
ramulator.active_cycles_31_3_0,11640,Total active cycles for level _31_3_0
ramulator.active_cycles_31_3_1,15027,Total active cycles for level _31_3_1
ramulator.active_cycles_3_0,36475,Total active cycles for level _3_0
ramulator.active_cycles_3_0_0,11539,Total active cycles for level _3_0_0
ramulator.active_cycles_3_0_1,24996,Total active cycles for level _3_0_1
ramulator.active_cycles_3_1,41178,Total active cycles for level _3_1
ramulator.active_cycles_3_1_0,18075,Total active cycles for level _3_1_0
ramulator.active_cycles_3_1_1,23274,Total active cycles for level _3_1_1
ramulator.active_cycles_3_2,45720,Total active cycles for level _3_2
ramulator.active_cycles_3_2_0,25303,Total active cycles for level _3_2_0
ramulator.active_cycles_3_2_1,20602,Total active cycles for level _3_2_1
ramulator.active_cycles_3_3,29454,Total active cycles for level _3_3
ramulator.active_cycles_3_3_0,12291,Total active cycles for level _3_3_0
ramulator.active_cycles_3_3_1,17283,Total active cycles for level _3_3_1
ramulator.active_cycles_4,215658,Total active cycles for level _4
ramulator.active_cycles_4_0,49617,Total active cycles for level _4_0
ramulator.active_cycles_4_0_0,25395,Total active cycles for level _4_0_0
ramulator.active_cycles_4_0_1,24428,Total active cycles for level _4_0_1
ramulator.active_cycles_4_1,59652,Total active cycles for level _4_1
ramulator.active_cycles_4_1_0,11474,Total active cycles for level _4_1_0
ramulator.active_cycles_4_1_1,48405,Total active cycles for level _4_1_1
ramulator.active_cycles_4_2,51178,Total active cycles for level _4_2
ramulator.active_cycles_4_2_0,28823,Total active cycles for level _4_2_0
ramulator.active_cycles_4_2_1,22535,Total active cycles for level _4_2_1
ramulator.active_cycles_4_3,60398,Total active cycles for level _4_3
ramulator.active_cycles_4_3_0,19759,Total active cycles for level _4_3_0
ramulator.active_cycles_4_3_1,40881,Total active cycles for level _4_3_1
ramulator.active_cycles_5,109869,Total active cycles for level _5
ramulator.active_cycles_5_0,28638,Total active cycles for level _5_0
ramulator.active_cycles_5_0_0,12802,Total active cycles for level _5_0_0
ramulator.active_cycles_5_0_1,16000,Total active cycles for level _5_0_1
ramulator.active_cycles_5_1,25312,Total active cycles for level _5_1
ramulator.active_cycles_5_1_0,11460,Total active cycles for level _5_1_0
ramulator.active_cycles_5_1_1,13963,Total active cycles for level _5_1_1
ramulator.active_cycles_5_2,27624,Total active cycles for level _5_2
ramulator.active_cycles_5_2_0,8558,Total active cycles for level _5_2_0
ramulator.active_cycles_5_2_1,19216,Total active cycles for level _5_2_1
ramulator.active_cycles_5_3,32779,Total active cycles for level _5_3
ramulator.active_cycles_5_3_0,10066,Total active cycles for level _5_3_0
ramulator.active_cycles_5_3_1,22814,Total active cycles for level _5_3_1
ramulator.active_cycles_6,143413,Total active cycles for level _6
ramulator.active_cycles_6_0,35460,Total active cycles for level _6_0
ramulator.active_cycles_6_0_0,11690,Total active cycles for level _6_0_0
ramulator.active_cycles_6_0_1,23976,Total active cycles for level _6_0_1
ramulator.active_cycles_6_1,27492,Total active cycles for level _6_1
ramulator.active_cycles_6_1_0,11762,Total active cycles for level _6_1_0
ramulator.active_cycles_6_1_1,15975,Total active cycles for level _6_1_1
ramulator.active_cycles_6_2,36237,Total active cycles for level _6_2
ramulator.active_cycles_6_2_0,21807,Total active cycles for level _6_2_0
ramulator.active_cycles_6_2_1,14734,Total active cycles for level _6_2_1
ramulator.active_cycles_6_3,48971,Total active cycles for level _6_3
ramulator.active_cycles_6_3_0,16231,Total active cycles for level _6_3_0
ramulator.active_cycles_6_3_1,33045,Total active cycles for level _6_3_1
ramulator.active_cycles_7,172928,Total active cycles for level _7
ramulator.active_cycles_7_0,46542,Total active cycles for level _7_0
ramulator.active_cycles_7_0_0,18632,Total active cycles for level _7_0_0
ramulator.active_cycles_7_0_1,28098,Total active cycles for level _7_0_1
ramulator.active_cycles_7_1,33111,Total active cycles for level _7_1
ramulator.active_cycles_7_1_0,15702,Total active cycles for level _7_1_0
ramulator.active_cycles_7_1_1,17582,Total active cycles for level _7_1_1
ramulator.active_cycles_7_2,31066,Total active cycles for level _7_2
ramulator.active_cycles_7_2_0,10628,Total active cycles for level _7_2_0
ramulator.active_cycles_7_2_1,20620,Total active cycles for level _7_2_1
